epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.167077, 0.002237
0.01, 100, 200, 0.578373, 0.005617
0.01, 100, 400, 2.282019, 0.020200
0.01, 100, 800, 9.129834, 0.043745
0.01, 100, 1600, 35.544740, 0.029765
