epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.184195, 0.000396
0.01, 100, 200, 0.690102, 0.000116
0.01, 100, 400, 2.913085, 0.000709
0.01, 100, 800, 10.981812, 0.017768
0.01, 100, 1600, 43.008160, 0.069409
