epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.252552, 0.000156
0.01, 100, 200, 0.973874, 0.000467
0.01, 100, 400, 3.889611, 0.001500
0.01, 100, 800, 15.934558, 0.070661
0.01, 100, 1600, 62.760199, 0.051820
