epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.212297, 0.000357
0.01, 100, 200, 0.679538, 0.000592
0.01, 100, 400, 2.414121, 0.001366
0.01, 100, 800, 8.874416, 0.002938
0.01, 100, 1600, 34.636456, 0.023057
