epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.163163, 0.000705
0.01, 100, 200, 0.557962, 0.000695
0.01, 100, 400, 2.149295, 0.000330
0.01, 100, 800, 8.557083, 0.001337
0.01, 100, 1600, 33.916643, 0.004802
