epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.199416, 0.000150
0.01, 100, 200, 0.728742, 0.000217
0.01, 100, 400, 2.739573, 0.000460
0.01, 100, 800, 10.777729, 0.002008
0.01, 100, 1600, 42.849976, 0.005485
