epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.140211, 0.000054
0.01, 100, 200, 0.539041, 0.000072
0.01, 100, 400, 2.148374, 0.000813
0.01, 100, 800, 8.733813, 0.006366
0.01, 100, 1600, 34.698669, 0.006152
