epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.252968, 0.000236
0.01, 100, 200, 0.973340, 0.000134
0.01, 100, 400, 3.983462, 0.007400
0.01, 100, 800, 15.808028, 0.020922
0.01, 100, 1600, 62.755646, 0.037581
