epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.249741, 0.000162
0.01, 100, 200, 0.964508, 0.000506
0.01, 100, 400, 3.877187, 0.003065
0.01, 100, 800, 15.516181, 0.005577
0.01, 100, 1600, 62.271843, 0.062325
