epsilon, st_ponovitev_algoritem, velikost_plosce, t, SE
0.01, 100, 100, 0.192507, 0.000872
0.01, 100, 200, 0.642884, 0.000880
0.01, 100, 400, 2.284310, 0.001597
0.01, 100, 800, 9.025293, 0.001771
0.01, 100, 1600, 35.343346, 0.104686
